comName,speciesCode
Black-winged Bishop,blwbis1,y
Yellow-crowned Bishop,yecbis,y
White-winged Widowbird,whwwid1,y
Diamond Firetail,diafir1,y
Red-browed Firetail,rebfir1,y
Double-barred Finch,dobfin1,y
Bronze Mannikin,broman1,y
Indian Silverbill,indsil,y
Scaly-breasted Munia,nutman,y
White-rumped Munia,whrmun,y
Tricolored Munia,trimun,y
Chestnut Munia,chemun,y
White-headed Munia,whhmun1,y
Common Waxbill,comwax,y
Black-rumped Waxbill,bkrwax,y
Crimson-rumped Waxbill,crrwax1,y
Cut-throat,cutthr1,y
Zebra Waxbill,zebwax2,y
Red Avadavat,redava,y
Red-cheeked Cordonbleu,reccor,y
Blue-capped Cordonbleu,blccor1,y
Red-throated Twinspot,pettwi1,y
Togo Paradise-Whydah,topwhy1,y
Village Indigobird,vilind,y
Eurasian Tree Sparrow,eutspa,y
Sudan Golden Sparrow,sugspa1,y
White-rumped Seedeater,whrsee,y
Black-throated Canary,bltcan1,y
Streaky Seedeater,strsee1,y
European Serin,eurser1,y
Island Canary,comcan,y
Black Siskin,blasis1,y
Epaulet Oriole,epaori1,y
Orange-breasted Bunting,orbbun1,y
Red-crested Cardinal,reccar,y
Yellow-billed Cardinal,yebcar,y
White-lined Tanager,whltan1,y
Blue-gray Tanager,bugtan,y
Blue Dacnis,bludac1,y
Blue-black Grassquit,blbgra1,y
Cinnamon-rumped Seedeater,whcsee2,y
Yellow-faced Grassquit,yefgra1,y
Greater Rhea,grerhe1,y
Lesser Rhea,lesrhe2,y
Chilean Tinamou,chitin1,y
Magpie Goose,maggoo1,y
Plumed Whistling-Duck,plwduc1,y
White-faced Whistling-Duck,wfwduc1,y
West Indian Whistling-Duck,wiwduc1,y
Blue-winged Goose,buwgoo1,y
Coscoroba Swan,cosswa1,y
Orinoco Goose,origoo1,y
Radjah Shelduck,radshe1,y
Paradise Shelduck,parshe1,y
Maned Duck,manduc1,y
Blue-billed Teal,hottea1,y
Silver Teal,siltea1,y
Laysan Duck,layduc,y
Hawaiian Duck,hawduc,y
Eastern Spot-billed Duck,spbduc,y
Yellow-billed Pintail,yebpin1,y
Chestnut Teal,chetea1,y
Southern Pochard,soupoc1,y
Rosy-billed Pochard,robpoc1,y
Ferruginous Duck,ferduc,y
Baer's Pochard,baepoc1,y
Labrador Duck,labduc,y
Green Peafowl,grepea1,y
Gray Francolin,gryfra,y
Blue-breasted Quail,blbqua1,y
Red-legged Partridge,relpar1,y
Erckel's Spurfowl,ercfra,y
Scaly-naped Pigeon,scnpig1,y
Passenger Pigeon,paspig,y
Chestnut-bellied Sandgrouse,chbsan,y
Gray Nightjar,grynig1,y
Yellow-headed Caracara,yehcar1,y
Eurasian Magpie,eurmag1,y
House Crow,houcro1,y
Eurasian Blue Tit,blutit,y
Red-whiskered Bulbul,rewbul,y
Red-vented Bulbul,revbul,y
Gray-crowned Goldfinch,eurgol2,y
Gray Nightjar,grynig1,y
Southern Brown x North Island Brown Kiwi (hybrid),x01217
Okarito Brown x Little Spotted Kiwi (hybrid),x01059
Spotted x White-faced Whistling-Duck (hybrid),x00721
Plumed x White-faced Whistling-Duck (hybrid),x01218
White-faced x Black-bellied Whistling-Duck (hybrid),x01141
Black-bellied x West Indian Whistling-Duck (hybrid),x00775
White-faced x Fulvous Whistling-Duck (hybrid),x00938
Black-bellied x Fulvous Whistling-Duck (hybrid),x00875
Plumed x Wandering Whistling-Duck (hybrid),x00990
Wandering x Lesser Whistling-Duck (hybrid),x00360
Bar-headed x Snow Goose (hybrid),x00991
Emperor x Snow Goose (hybrid),x01176
Snow x Ross's Goose (hybrid),sxrgoo1
Bar-headed x Graylag Goose (hybrid),x00992
Emperor x Graylag Goose (hybrid),x01119
Bar-headed x Swan Goose (hybrid),x01143
Snow x Swan Goose (hybrid),x01144
Bar-headed x Snow x Swan Goose (hybrid),x01142
Graylag x Swan Goose (hybrid),x00776
Bar-headed x Greater White-fronted Goose (hybrid),x00755
Emperor x Greater White-fronted Goose (hybrid),x00361
Snow x Greater White-fronted Goose (hybrid),x00627
Ross's x Greater White-fronted Goose (hybrid),x00362
Graylag x Greater White-fronted Goose (hybrid),x01145
Greater White-fronted Goose x Tundra Bean-Goose (hybrid),x01089
Snow Goose x Brant (hybrid),x00685
Bar-headed x Barnacle Goose (hybrid),x00363
Emperor x Barnacle Goose (hybrid),x00993
Snow x Barnacle Goose (hybrid),x00994
Ross's x Barnacle Goose (hybrid),x00995
Graylag x Barnacle Goose (hybrid),x00649
Greater White-fronted x Barnacle Goose (hybrid),x00757
Lesser White-fronted x Barnacle Goose (hybrid),x00364
Pink-footed x Barnacle Goose (hybrid),x00756
Emperor x Cackling Goose (hybrid),x00831
Snow x Cackling Goose (hybrid),x00692
Ross's x Cackling Goose (hybrid),x00694
Brant x Cackling Goose (hybrid),x00722
Greater White-fronted x Cackling Goose (hybrid),x00414
Barnacle x Cackling Goose (hybrid),x00416
Bar-headed x Canada Goose (hybrid),x00908
Swan x Canada Goose (hybrid),swagoo3
Pink-footed x Canada Goose (hybrid),x00650
Greater White-fronted x Canada Goose (hybrid),x00415
Greater White-fronted x Cackling/Canada Goose (hybrid),x01088
Graylag x Canada Goose (hybrid),x00758
Domestic goose sp. x Canada Goose (hybrid),x00759
Snow x Canada Goose (hybrid),x00197
Ross's x Canada Goose (hybrid),x00693
Barnacle x Canada Goose (hybrid),x00417
Snow/Ross's x Cackling/Canada Goose (hybrid),y00765
Barnacle x Hawaiian Goose (hybrid),x01139
Greater White-fronted x Red-breasted Goose (hybrid),x00939
Brant x Red-breasted Goose (hybrid),x00996
Barnacle x Red-breasted Goose (hybrid),x00365
Graylag Goose x Mute Swan (hybrid),x00366
Mute x Black Swan (hybrid),x01037
Mute x Trumpeter Swan (hybrid),x00832
Trumpeter x Tundra Swan (hybrid),x00418
Mute x Whooper Swan (hybrid),x00997
Trumpeter x Whooper Swan (hybrid),x00419
Ashy-headed x Ruddy-headed Goose (hybrid),x01120
Knob-billed Duck x Egyptian Goose (hybrid),x01177
Egyptian Goose x Ruddy Shelduck (hybrid),x00367
Ruddy x Common Shelduck (hybrid),x00876
Egyptian Goose x Muscovy Duck (hybrid),x01045
Common Shelduck x Wood Duck (hybrid),x00940
Wood x Mandarin Duck (hybrid),x00833
Wood Duck x Brazilian Teal (hybrid),x01178
Baikal x Blue-winged Teal (hybrid),x01179
Blue-winged x Cinnamon Teal (hybrid),bwxtea1
Garganey x Northern Shoveler (hybrid),x00836
Blue-winged Teal x Northern Shoveler (hybrid),x00629
Cinnamon Teal x Northern Shoveler (hybrid),x00630
Northern Shoveler x Gadwall (hybrid),x00457
Baikal Teal x Falcated Duck (hybrid),x00368
Gadwall x Falcated Duck (hybrid),x00369
Baikal Teal x Eurasian Wigeon (hybrid),x01219
Northern Shoveler x Eurasian Wigeon (hybrid),x01140
Gadwall x Eurasian Wigeon (hybrid),x00723
Falcated Duck x Eurasian Wigeon (hybrid),x01220
Wood Duck x American Wigeon (hybrid),x00877
Blue-winged Teal x American Wigeon (hybrid),x00370
Northern Shoveler x American Wigeon (hybrid),x00777
Gadwall x American Wigeon (hybrid),x00724
Eurasian x American Wigeon (hybrid),x00421
Eurasian x Chiloe Wigeon (hybrid),x00998
Egyptian Goose x Mallard (hybrid),x01147
Ruddy Shelduck x Mallard (hybrid),x01148
Muscovy Duck x Mallard (hybrid),mdxmal1
Wood Duck x Mallard (hybrid),x00205
Northern Shoveler x Mallard (hybrid),x00612
Gadwall x Mallard (hybrid),x00420
Falcated Duck x Mallard (hybrid),x01221
Eurasian Wigeon x Mallard (hybrid),x00647
American Wigeon x Mallard (hybrid),x00611
African Black Duck x Mallard (hybrid),x01149
Yellow-billed Duck x Mallard (hybrid),x00760
Pacific Black Duck x Mallard (hybrid),x00458
Hawaiian Duck x Mallard (hybrid),x00423
Indian Spot-billed Duck x Mallard (hybrid),x00834
Eastern Spot-billed Duck x Mallard (hybrid),x00835
Mallard x Mexican Duck (hybrid),mallar4
American Wigeon x American Black Duck (hybrid),x00941
Mallard x American Black Duck (hybrid),x00004
Mallard x Mottled Duck (hybrid),x00422
Mallard x Mexican/Mottled Duck (hybrid),y01098
Mexican x Mottled Duck (hybrid),x00922
Mallard x White-cheeked Pintail (hybrid),x00778
Yellow-billed x Red-billed Duck (hybrid),x01222
Cape Teal x Red-billed Duck (hybrid),x01223
Baikal Teal x Northern Pintail (hybrid),x00837
Northern Shoveler x Northern Pintail (hybrid),x01180
Gadwall x Northern Pintail (hybrid),x00610
Eurasian Wigeon x Northern Pintail (hybrid),x00761
American Wigeon x Northern Pintail (hybrid),x00196
Pacific Black Duck x Northern Pintail (hybrid),x01087
Mallard x Northern Pintail (hybrid),x00628
American Black Duck x Northern Pintail (hybrid),x00674
White-cheeked x Yellow-billed Pintail (hybrid),x01150
Baikal x Green-winged Teal (hybrid),x00999
Garganey x Green-winged Teal (hybrid),x00371
Blue-winged x Green-winged Teal (hybrid),x00673
Cinnamon x Green-winged Teal (hybrid),x00763
Gadwall x Green-winged Teal (hybrid),x00762
Eurasian Wigeon x Green-winged Teal (hybrid),x00372
American Wigeon x Green-winged Teal (hybrid),x00646
Mallard x Green-winged Teal (hybrid),x00670
Northern Pintail x Green-winged Teal (hybrid),x00725
Pacific Black Duck x Gray Teal (hybrid),x00926
Pacific Black Duck x Chestnut Teal (hybrid),x00925
Gray x Chestnut Teal (hybrid),x00913
Mallard x Brown Teal (hybrid),x00878
Mallard x Red-crested Pochard (hybrid),x00648
Mallard x Redhead (hybrid),x00879
Canvasback x Redhead (hybrid),x00684
Mallard x Common Pochard (hybrid),x01000
Red-crested x Common Pochard (hybrid),x00373
Mallard x Ring-necked Duck (hybrid),x01001
Canvasback x Ring-necked Duck (hybrid),x00880
Redhead x Ring-necked Duck (hybrid),x00679
Red-crested Pochard x Ferruginous Duck (hybrid),x00374
Common Pochard x Ferruginous Duck (hybrid),x00764
Common x Baer's Pochard (hybrid),x01093
Ferruginous Duck x Baer's Pochard (hybrid),x00838
Gray Teal x Hardhead (hybrid),x00912
Mallard x Tufted Duck (hybrid),x00375
Red-crested Pochard x Tufted Duck (hybrid),x00376
Common Pochard x Tufted Duck (hybrid),x00683
Ring-necked x Tufted Duck (hybrid),x00652
Ferruginous x Tufted Duck (hybrid),x00839
Redhead x Greater Scaup (hybrid),x00680
Ring-necked Duck x Greater Scaup (hybrid),x00779
Tufted Duck x Greater Scaup (hybrid),x00654
Redhead x Lesser Scaup (hybrid),x00678
Ring-necked Duck x Lesser Scaup (hybrid),x00613
Tufted Duck x Lesser Scaup (hybrid),x00653
Canvasback x scaup sp. (hybrid),x00377
Redhead x scaup sp. (hybrid),x00681
Ring-necked Duck x scaup sp. (hybrid),x00682
Tufted Duck x scaup sp. (hybrid),tdxsca1
Spectacled x King Eider (hybrid),x00942
Common Shelduck x Common Eider (hybrid),x01151
Mallard x Common Eider (hybrid),x00881
King x Common Eider (hybrid),x00665
Surf x White-winged Scoter (hybrid),x00882
White-winged x Stejneger's Scoter (hybrid),x01170
