SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Anas bahamensis x georgica,White-cheeked x Yellow-billed Pintail (hybrid),x01150,hybrid,611.0,WCHP WCPI YBPI,ANGE ANBA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa x Anas crecca,Baikal x Green-winged Teal (hybrid),x00999,hybrid,616.0,GWTE EUTE CWTE EWTE BATE,SIFO ANCR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula querquedula x Anas crecca,Garganey x Green-winged Teal (hybrid),x00371,hybrid,617.0,GWTE EUTE CWTE EWTE GARG,ANCR SPQU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors x Anas crecca,Blue-winged x Green-winged Teal (hybrid),x00673,hybrid,618.0,GWTE BWTE EUTE CWTE EWTE,SPDI ANCR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula cyanoptera x Anas crecca,Cinnamon x Green-winged Teal (hybrid),x00763,hybrid,619.0,CITE GWTE EUTE CWTE EWTE,SPCY ANCR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x Anas crecca,Gadwall x Green-winged Teal (hybrid),x00762,hybrid,620.0,GWTE EUTE CWTE EWTE GADW,MAST ANCR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope x Anas crecca,Eurasian Wigeon x Green-winged Teal (hybrid),x00372,hybrid,621.0,GWTE EUTE CWTE EUWI EWTE,ANCR MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana x Anas crecca,American Wigeon x Green-winged Teal (hybrid),x00646,hybrid,622.0,GWTE AMWI EUTE CWTE EWTE,ANCR MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x crecca,Mallard x Green-winged Teal (hybrid),x00670,hybrid,623.0,GWTE EUTE CWTE EWTE MALL,ANCR ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas acuta x crecca,Northern Pintail x Green-winged Teal (hybrid),x00725,hybrid,624.0,GWTE EUTE CWTE EWTE NOPI,ANAC ANCR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa x gracilis,Pacific Black Duck x Gray Teal (hybrid),x00926,hybrid,640.0,GRDU GRTE PBDU,ANSU ANGR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa x castanea,Pacific Black Duck x Chestnut Teal (hybrid),x00925,hybrid,645.0,CHTE GRDU PBDU,ANSU ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas gracilis x castanea,Gray x Chestnut Teal (hybrid),x00913,hybrid,646.0,CHTE GRTE,ANCA ANGR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x chlorotis,Mallard x Brown Teal (hybrid),x00878,hybrid,652.0,BRTE MALL,ANCH ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Netta rufina,Mallard x Red-crested Pochard (hybrid),x00648,hybrid,661.0,RCPO MALL,NERU ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Aythya americana,Mallard x Redhead (hybrid),x00879,hybrid,668.0,REDH MALL,AYAM ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya valisineria x americana,Canvasback x Redhead (hybrid),x00684,hybrid,669.0,REDH CANV,AYVA AYAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Aythya ferina,Mallard x Common Pochard (hybrid),x01000,hybrid,671.0,COPO COMP MALL,AYFE ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Netta rufina x Aythya ferina,Red-crested x Common Pochard (hybrid),x00373,hybrid,672.0,COMP COPO RCPO,AYFE NERU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Aythya collaris,Mallard x Ring-necked Duck (hybrid),x01001,hybrid,674.0,MALL RNDU,AYCO ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya valisineria x collaris,Canvasback x Ring-necked Duck (hybrid),x00880,hybrid,675.0,CANV RNDU,AYVA AYCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya americana x collaris,Redhead x Ring-necked Duck (hybrid),x00679,hybrid,676.0,REDH RNDU,AYAM AYCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Netta rufina x Aythya nyroca,Red-crested Pochard x Ferruginous Duck (hybrid),x00374,hybrid,678.0,FEDU RCPO,AYNY NERU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya ferina x nyroca,Common Pochard x Ferruginous Duck (hybrid),x00764,hybrid,679.0,FEDU COPO COMP,AYNY AYFE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya ferina x baeri,Common x Baer's Pochard (hybrid),x01093,hybrid,682.0,COPO COMP BAPO,AYFE AYBA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya nyroca x baeri,Ferruginous Duck x Baer's Pochard (hybrid),x00838,hybrid,683.0,FEDU BAPO,AYBA AYNY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas gracilis x Aythya australis,Gray Teal x Hardhead (hybrid),x00912,hybrid,686.0,GRTE HARD AWED,AYAU ANGR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Aythya fuligula,Mallard x Tufted Duck (hybrid),x00375,hybrid,688.0,TUDU MALL,AYFU ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Netta rufina x Aythya fuligula,Red-crested Pochard x Tufted Duck (hybrid),x00376,hybrid,689.0,TUDU RCPO,AYFU NERU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya ferina x fuligula,Common Pochard x Tufted Duck (hybrid),x00683,hybrid,690.0,COPO COMP TUDU,AYFE AYFU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya collaris x fuligula,Ring-necked x Tufted Duck (hybrid),x00652,hybrid,691.0,TUDU RNDU,AYFU AYCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya nyroca x fuligula,Ferruginous x Tufted Duck (hybrid),x00839,hybrid,692.0,FEDU TUDU,AYNY AYFU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya americana x marila,Redhead x Greater Scaup (hybrid),x00680,hybrid,697.0,REDH GRSC,AYMA AYAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya collaris x marila,Ring-necked Duck x Greater Scaup (hybrid),x00779,hybrid,698.0,GRSC RNDU,AYMA AYCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya fuligula x marila,Tufted Duck x Greater Scaup (hybrid),x00654,hybrid,699.0,TUDU GRSC,AYFU AYMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya americana x affinis,Redhead x Lesser Scaup (hybrid),x00678,hybrid,701.0,REDH LESC,AYAM AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya collaris x affinis,Ring-necked Duck x Lesser Scaup (hybrid),x00613,hybrid,702.0,LESC RNDU,AYCO AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya fuligula x affinis,Tufted Duck x Lesser Scaup (hybrid),x00653,hybrid,703.0,TUDU LESC,AYFU AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya valisineria x marila/affinis,Canvasback x scaup sp. (hybrid),x00377,hybrid,704.0,CANV GRSC LESC,AYVA AYMA AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya americana x marila/affinis,Redhead x scaup sp. (hybrid),x00681,hybrid,705.0,REDH GRSC LESC,AYAM AYMA AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya collaris x marila/affinis,Ring-necked Duck x scaup sp. (hybrid),x00682,hybrid,706.0,GRSC LESC RNDU,AYCO AYMA AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya fuligula x marila/affinis,Tufted Duck x scaup sp. (hybrid),tdxsca1,hybrid,707.0,TUDU LESC GRSC,AYFU AYMA AYAF,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Somateria fischeri x spectabilis,Spectacled x King Eider (hybrid),x00942,hybrid,714.0,KIEI SPEI,SOFI SOSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna tadorna x Somateria mollissima,Common Shelduck x Common Eider (hybrid),x01151,hybrid,722.0,COMS COSH COEI,SOMO TATA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x Somateria mollissima,Mallard x Common Eider (hybrid),x00881,hybrid,723.0,COEI MALL,SOMO ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Somateria spectabilis x mollissima,King x Common Eider (hybrid),x00665,hybrid,724.0,KIEI COEI,SOMO SOSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Melanitta perspicillata x deglandi,Surf x White-winged Scoter (hybrid),x00882,hybrid,732.0,WWSC SUSC,MEDE MEPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Melanitta deglandi x stejnegeri,White-winged x Stejneger's Scoter (hybrid),x01170,hybrid,733.0,WWSC SISC STSC,MEDE MEST,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala albeola x clangula,Bufflehead x Common Goldeneye (hybrid),x00655,hybrid,746.0,BUFF COGO,BUAL BUCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala albeola x clangula/islandica,Bufflehead x goldeneye sp. (hybrid),x00909,hybrid,747.0,BUFF BAGO COGO,BUAL BUIS BUCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala albeola x islandica,Bufflehead x Barrow's Goldeneye (hybrid),x01152,hybrid,749.0,BUFF BAGO,BUAL BUIS,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala clangula x islandica,Common x Barrow's Goldeneye (hybrid),cxbgol1,hybrid,750.0,BAGO COGO,BUIS BUCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala clangula x Mergellus albellus,Common Goldeneye x Smew (hybrid),x00378,hybrid,753.0,SMEW COGO,BUCL MEAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa x Lophodytes cucullatus,Wood Duck x Hooded Merganser (hybrid),x00202,hybrid,755.0,AWDU WODU CWDU HOME,LOCU AISP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala albeola x Lophodytes cucullatus,Bufflehead x Hooded Merganser (hybrid),x00424,hybrid,756.0,BUFF HOME,BUAL LOCU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala clangula x Lophodytes cucullatus,Common Goldeneye x Hooded Merganser (hybrid),x00425,hybrid,757.0,HOME COGO,LOCU BUCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala islandica x Lophodytes cucullatus,Barrow's Goldeneye x Hooded Merganser (hybrid),x00426,hybrid,758.0,BAGO HOME,BUIS LOCU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Bucephala clangula/islandica x Lophodytes cucullatus,goldeneye sp. x Hooded Merganser (hybrid),x00631,hybrid,759.0,BAGO HOME COGO,LOCU BUIS BUCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mergellus albellus x Lophodytes cucullatus,Smew x Hooded Merganser (hybrid),x00379,hybrid,760.0,SMEW HOME,LOCU MEAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Somateria mollissima x Mergus merganser,Common Eider x Common Merganser (hybrid),x00840,hybrid,767.0,GOOS COEI COME,SOMO MEME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Lophodytes cucullatus x Mergus merganser,Hooded x Common Merganser (hybrid),x00726,hybrid,768.0,GOOS HOME COME,MEME LOCU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aythya collaris x Mergus serrator,Ring-necked Duck x Red-breasted Merganser (hybrid),x00614,hybrid,771.0,RBME RNDU,AYCO MESE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mergus merganser x serrator,Common x Red-breasted Merganser (hybrid),x00780,hybrid,772.0,GOOS RBME COME,MEME MESE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Oxyura jamaicensis x leucocephala,Ruddy x White-headed Duck (hybrid),x00705,hybrid,784.0,WHDU RUDU,OXJA OXLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Pipile grayi x cujubi,White-throated x Red-throated Piping-Guan (hybrid),x01078,hybrid,871.0,WTPG RTPG,PIGR PICU,,Galliformes,"Guans, Chachalacas, and Curassows",Cracidae,,,,cracid2
Ortalis poliocephala x wagleri,West Mexican x Rufous-bellied Chachalaca (hybrid),x01121,hybrid,953.0,RBEC RBCH WMCH,ORWA ORPO,,Galliformes,"Guans, Chachalacas, and Curassows",Cracidae,,,,cracid2
Colinus virginianus x Callipepla squamata,Northern Bobwhite x Scaled Quail (hybrid),x00688,hybrid,1087.0,SCQU NOBO,COVI CASQ,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus virginianus x Callipepla californica,Northern Bobwhite x California Quail (hybrid),x01011,hybrid,1103.0,CAQU NOBO,COVI CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla squamata x californica,Scaled x California Quail (hybrid),x00687,hybrid,1104.0,CAQU SCQU,CACA CASQ,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla squamata x gambelii,Scaled x Gambel's Quail (hybrid),x00689,hybrid,1111.0,SCQU GAQU,CASQ CAGA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla californica x gambelii,California x Gambel's Quail (hybrid),y00315,hybrid,1112.0,CAQU GAQU,CAGA CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Dendragapus obscurus x fuliginosus,Dusky x Sooty Grouse (hybrid),x01224,hybrid,1325.0,DUGR SOGR,DEOB DEFU,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Centrocercus urophasianus x Tympanuchus phasianellus,Greater Sage-Grouse x Sharp-tailed Grouse (hybrid),x00727,hybrid,1335.0,STGR GRSG GSGR SAGR,CEUR TYPH,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Dendragapus obscurus x Tympanuchus phasianellus,Dusky x Sharp-tailed Grouse (hybrid),x00781,hybrid,1336.0,DUGR STGR,TYPH DEOB,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Tympanuchus phasianellus x cupido,Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid),x00728,hybrid,1341.0,STGR GPCH GRPC,TYCU TYPH,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Tympanuchus cupido x pallidicinctus,Greater x Lesser Prairie-Chicken (hybrid),x00668,hybrid,1343.0,LPCH GPCH GRPC LEPC,TYCU TYPA,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Tetrao urogallus x urogalloides,Western x Black-billed Capercaillie (hybrid),x01169,hybrid,1431.0,WECA BBCA,TEUR,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Tetrao urogallus x Lyrurus tetrix,Western Capercaillie x Black Grouse (hybrid),x00841,hybrid,1441.0,WECA BLGR,TEUR LYTE,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Chrysolophus pictus x amherstiae,Golden x Lady Amherst's Pheasant (hybrid),x01017,hybrid,1476.0,GOPH LAPH,CHPI CHAM,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Phasianus colchicus x versicolor,Ring-necked x Green Pheasant (hybrid),x01018,hybrid,1513.0,RNEP RNPH GRPH COPH,PHCO PHVE,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Crossoptilon harmani x crossoptilon,Tibetan x White Eared-Pheasant (hybrid),x00943,hybrid,1522.0,WHEP TEPH WEPH TIEP,CRCR CRHA,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Lophura edwardsi x nycthemera,Edwards's x Silver Pheasant (hybrid),impphe1,hybrid,1555.0,SIPH VIPH EDPH,LOED LONY,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Lophura leucomelanos x nycthemera,Kalij x Silver Pheasant (hybrid),x01181,hybrid,1556.0,SIPH KAPH,LONY LOLE,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Pavo cristatus x muticus,Indian x Green Peafowl (hybrid),x00380,hybrid,1579.0,INPE GRPE,PAMU PACR,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Alectoris rufa x graeca,Red-legged x Rock Partridge (hybrid),x00640,hybrid,1786.0,ROPA RLPA,ALRU ALGR,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Alectoris chukar x graeca,Chukar x Rock Partridge (hybrid),x00381,hybrid,1787.0,ROPA CHUK CHPA,ALGR ALCH,,Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,,phasia1
Streptopelia turtur x decaocto,European Turtle-Dove x Eurasian Collared-Dove (hybrid),x00382,hybrid,2032.0,CODO EUTD EUCD ECDO ETDO,STDE STTU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Streptopelia orientalis x decaocto,Oriental Turtle-Dove x Eurasian Collared-Dove (hybrid),x01084,hybrid,2033.0,CODO ECDO EUCD RTDO OTDO ORTD,STDE STOR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Streptopelia decaocto x roseogrisea,Eurasian x African Collared-Dove (hybrid),x00799,hybrid,2040.0,AFCD CODO ECDO EUCD ACDO BADO,STDE STRO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps indica x longirostris,Asian x Pacific Emerald Dove (hybrid),x00849,hybrid,2173.0,AEDO CEDO GCED PEDO BCED,CHIN CHLO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina inca x passerina,Inca x Common Ground Dove (hybrid),x01225,hybrid,2262.0,CGDO INDO,COPA COIN,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina passerina x talpacoti,Common x Ruddy Ground Dove (hybrid),x01164,hybrid,2273.0,CGDO RGDO,COPA COTA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina talpacoti x squammata,Ruddy Ground x Scaled Dove (hybrid),x01153,hybrid,2281.0,SCDO RGDO,COSQ COTA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Streptopelia decaocto x Zenaida macroura,Eurasian Collared-Dove x Mourning Dove (hybrid),x00767,hybrid,2418.0,CODO ECDO MODO EUCD,STDE ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida asiatica x macroura,White-winged x Mourning Dove (hybrid),x01086,hybrid,2419.0,MODO WWDO,ZEAS ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Menelikornis leucotis x ruspolii,White-cheeked x Prince Ruspoli's Turaco (hybrid),x00800,hybrid,2992.0,WCTU RUTU PRTU,MELE MERU,,Musophagiformes,Turacos,Musophagidae,,,,musoph1
Centropus superciliosus x burchellii,White-browed x Burchell's Coucal (hybrid),x01122,hybrid,3117.0,BUCO WBCO,CEBU CESU,,Cuculiformes,Cuckoos,Cuculidae,,,,cuculi1
Piaya mexicana x cayana,Mexican x Common Squirrel-Cuckoo (hybrid),x01173,hybrid,3233.0,COSC MSCU MESC CSCU SQCU,PIME PICA,,Cuculiformes,Cuckoos,Cuculidae,,,,cuculi1
Apus affinis x caffer,Little x White-rumped Swift (hybrid),x01060,hybrid,4154.0,LISW WRSW,APAF APCA,,Apodiformes,Swifts,Apodidae,,,,apodid1
Heliangelus amethysticollis x viola,Amethyst-throated x Purple-throated Sunangel (hybrid),x01046,hybrid,4423.0,PTSU ATSU,HEAM HEVI,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Aglaiocercus kingii x Metallura tyrianthina,Long-tailed Sylph x Tyrian Metaltail (hybrid),x00944,hybrid,4551.0,LTSY TYME,METY AGKI,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Aglaeactis cupripennis x castelnaudii,Shining x White-tufted Sunbeam (hybrid),x00672,hybrid,4610.0,SHSU WTSU,AGCU AGCA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Coeligena bonapartei x helianthea,Golden-bellied x Blue-throated Starfrontlet (hybrid),x01047,hybrid,4657.0,BTST GBST,COBO COHE,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Boissonneaua flavescens x jardini,Buff-tailed x Velvet-purple Coronet (hybrid),x00383,hybrid,4677.0,BTCO VPCO,BOFL BOJA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Boissonneaua flavescens x Heliodoxa imperatrix,Buff-tailed Coronet x Empress Brilliant (hybrid),x01032,hybrid,4711.0,EMBR BTCO,BOFL HEIM,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Lampornis calolaemus x castaneoventris,Purple-throated x White-throated Mountain-gem (hybrid),x00945,hybrid,4765.0,PTMG PTMO WTTM WTMG WTMO,LACA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Thaumastura cora x Eulidia yarrellii,Peruvian Sheartail x Chilean Woodstar (hybrid),x00736,hybrid,4780.0,CHWO PESH,EUYA THCO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Eugenes fulgens x Archilochus alexandri,Rivoli's x Black-chinned Hummingbird (hybrid),x01226,hybrid,4804.0,BCHU RIHU MAHU,ARAL EUFU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calothorax lucifer x Archilochus alexandri,Lucifer x Black-chinned Hummingbird (hybrid),x00946,hybrid,4805.0,LUHU BCHU LUSH,CALU ARAL,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus colubris x alexandri,Ruby-throated x Black-chinned Hummingbird (hybrid),x00850,hybrid,4806.0,BCHU RTHU,ARAL ARCO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Eugenes fulgens x Calypte anna,Rivoli's x Anna's Hummingbird (hybrid),x01227,hybrid,4815.0,ANHU RIHU MAHU,CAAN EUFU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calothorax lucifer x Calypte anna,Lucifer x Anna's Hummingbird (hybrid),x00690,hybrid,4816.0,ANHU LUHU LUSH,CAAN CALU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Calypte anna,Black-chinned x Anna's Hummingbird (hybrid),x00651,hybrid,4817.0,ANHU BCHU,CAAN ARAL,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calothorax lucifer x Calypte costae,Lucifer x Costa's Hummingbird (hybrid),x00737,hybrid,4819.0,LUSH LUHU COHU,CALU CACO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Calypte costae,Black-chinned x Costa's Hummingbird (hybrid),x00384,hybrid,4820.0,BCHU COHU,CACO ARAL,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calypte anna x costae,Anna's x Costa's Hummingbird (hybrid),x00618,hybrid,4821.0,ANHU COHU,CAAN CACO,ACHH,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Selasphorus calliope,Black-chinned x Calliope Hummingbird (hybrid),x00768,hybrid,4824.0,CAHU BCHU,ARAL SECA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calypte anna x Selasphorus calliope,Anna's x Calliope Hummingbird (hybrid),x00619,hybrid,4825.0,CAHU ANHU,CAAN SECA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus colubris x Selasphorus rufus,Ruby-throated x Rufous Hummingbird (hybrid),x01048,hybrid,4827.0,RTHU RUHU,SERU ARCO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Selasphorus rufus,Black-chinned x Rufous Hummingbird (hybrid),x00738,hybrid,4828.0,BCHU RUHU,ARAL SERU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calypte anna x Selasphorus rufus,Anna's x Rufous Hummingbird (hybrid),x00626,hybrid,4829.0,ANHU RUHU,CAAN SERU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Selasphorus calliope x rufus,Calliope x Rufous Hummingbird (hybrid),x00852,hybrid,4830.0,CAHU RUHU,SECA SERU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Selasphorus sasin,Black-chinned x Allen's Hummingbird (hybrid),x01154,hybrid,4834.0,BCHU ALHU,ARAL SESA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calypte anna x Selasphorus sasin,Anna's x Allen's Hummingbird (hybrid),x00691,hybrid,4835.0,ANHU ALHU,CAAN SESA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calypte costae x Selasphorus sasin,Costa's x Allen's Hummingbird (hybrid),x01155,hybrid,4836.0,COHU ALHU,CACO SESA,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Selasphorus rufus x sasin,Rufous x Allen's Hummingbird (hybrid),x00385,hybrid,4837.0,RUHU ALHU,SESA SERU,RAHH,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Calothorax lucifer x Selasphorus platycercus,Lucifer x Broad-tailed Hummingbird (hybrid),x01095,hybrid,4840.0,BTHU LUHU LUSH,SEPL CALU,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus colubris x Selasphorus platycercus,Ruby-throated x Broad-tailed Hummingbird (hybrid),x01049,hybrid,4841.0,BTHU RTHU,SEPL ARCO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Archilochus alexandri x Selasphorus platycercus,Black-chinned x Broad-tailed Hummingbird (hybrid),x01091,hybrid,4842.0,BTHU BCHU,SEPL ARAL,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
